name,symbol,price_usd,change,volume_M,market_cap_B,pe_ratio
Lam Research Corporation,LRCX,258.37,-4.79,7.806,324.52,54.92
"Under Armour, Inc.",UAA,6.73,0.12,7.791,2.866,
"Toast, Inc.",TOST,28.67,-0.51,7.785,16.887,52.07
"Erasca, Inc.",ERAS,22.41,0.7,7.782,6.965,
ON Semiconductor Corporation,ON,86.91,1.35,7.759,34.244,286.24
Paramount Skydance Corporation,PSKY,11.61,-0.21,7.679,12.907,
ICICI Bank Limited,IBN,28.67,-0.08,7.635,103.228,18.01
Regions Financial Corporation,RF,28.35,0.04,7.599,24.22,11.67
EQT Corporation,EQT,56.98,-0.02,7.581,35.571,17.67
ADT Inc.,ADT,7.18,-0.1,7.549,5.888,10.63
James Hardie Industries plc,JHX,22.07,0.11,7.528,12.804,87.14
Aegon Ltd.,AEG,8.02,-0.04,7.518,12.148,11.73
Haleon plc,HLN,9.53,-0.15,7.457,42.396,19.38
Bristol-Myers Squibb Company,BMY,59.39,0.26,7.444,121.259,17.39
CVS Health Corporation,CVS,77.36,0.78,7.426,99.145,55.61
Sirius XM Holdings Inc.,SIRI,26.18,-1.04,7.386,8.811,11.43
Baxter International Inc.,BAX,18.49,-0.35,7.347,9.546,
Danaher Corporation,DHR,194.54,-0.96,7.278,137.676,46.6
Barclays PLC,BCS,23.41,-0.65,7.269,79.966,10.71
HDFC Bank Limited,HDB,26.45,-0.13,7.246,135.717,16.23
"Oscar Health, Inc.",OSCR,16.17,-0.27,7.24,4.815,
"Mizuho Financial Group, Inc.",MFG,8.23,-0.37,7.206,100.343,16.1
Truist Financial Corporation,TFC,51.07,0.23,7.145,63.627,12.52
"Enphase Energy, Inc.",ENPH,33.62,-0.26,7.136,4.431,25.16
Zeta Global Holdings Corp.,ZETA,17.81,-0.34,7.116,4.38,
FirstEnergy Corp.,FE,48.51,-0.94,7.056,28.058,28.47
"JD.com, Inc.",JD,30.52,-0.85,7.05,45.181,16.7
"Annaly Capital Management, Inc.",NLY,22.6,-0.05,7.011,16.236,7.81
The Goodyear Tire & Rubber Company,GT,7.15,-0.07,6.997,2.049,
EchoStar Corporation,SATS,123.86,-11.25,6.953,35.78,
"ASE Technology Holding Co., Ltd.",ASX,29.6,0.32,6.91,64.837,49.71
Shopify Inc.,SHOP,131.13,-4.01,6.884,170.598,139.52
"Chewy, Inc.",CHWY,27.74,-1.12,6.877,11.559,52.92
XPeng Inc.,XPEV,17.21,-0.59,6.837,16.448,
APA Corporation,APA,37.6,1.63,6.832,13.288,8.96
Lionsgate Studios Corp.,LION,11.52,-0.93,6.831,3.343,
Texas Instruments Incorporated,TXN,233.15,-0.55,6.827,212.275,42.17
"SentinelOne, Inc.",S,14.46,0.14,6.821,4.92,
Roblox Corporation,RBLX,61.26,-0.57,6.794,43.85,
"Meta Platforms, Inc.",META,668.84,-2.07,6.766,1698.0,29.31
"Corebridge Financial, Inc.",CRBG,26.28,-0.58,6.745,12.659,
BP p.l.c.,BP,45.91,0.79,6.71,119.897,2157.06
The Boeing Company,BA,219.16,-5.92,6.701,172.226,
"NextEra Energy, Inc.",NEE,90.6,-1.41,6.628,188.928,27.87
Hudbay Minerals Inc.,HBM,23.85,-1.82,6.6,9.483,18.06
3M Company,MMM,148.47,-2.93,6.564,78.199,22.02
The Procter & Gamble Company,PG,142.32,-2.17,6.555,332.564,21.77
"StubHub Holdings, Inc.",STUB,7.22,0.32,6.54,2.576,
RTX Corporation,RTX,187.17,-8.62,6.539,251.926,39.6
"Healthpeak Properties, Inc.",DOC,16.47,-0.63,6.512,11.451,173.7
Uranium Energy Corp.,UEC,14.45,-0.68,6.453,7.084,
Vertiv Holdings Co,VRT,312.44,-1.97,6.446,119.539,90.13
Arm Holdings plc,ARM,175.49,0.39,6.434,186.37,222.33
The Western Union Company,WU,9.54,0.02,6.422,2.99,6.24
MP Materials Corp.,MP,65.76,-0.47,6.414,11.683,
Cenovus Energy Inc.,CVE,25.6,0.69,6.397,48.119,15.6
Fastenal Company,FAST,45.7,0.14,6.378,52.479,40.51
The Walt Disney Company,DIS,104.29,-2.01,6.33,184.947,15.64
"Copart, Inc.",CPRT,33.74,-0.02,6.321,32.661,21.04
"Celsius Holdings, Inc.",CELH,32.69,-1.09,6.32,8.401,140.62
U.S. Bancorp,USB,56.84,-0.16,6.313,88.386,11.93
Crescent Energy Company,CRGY,12.25,0.27,6.248,4.017,21.83
"Affirm Holdings, Inc.",AFRM,64.6,-2.46,6.208,21.519,81.17
Petróleo Brasileiro S.A. - Petrobras,PBR-A,19.26,0.38,6.136,131.864,5.41
Ares Capital Corporation,ARCC,18.96,-0.16,6.106,13.614,10.27
Western Digital Corporation,WDC,383.81,9.7,6.1,131.224,34.83
Atlassian Corporation,TEAM,71.22,-0.26,6.078,18.784,
"General Mills, Inc.",GIS,35.05,-0.23,6.073,18.706,8.72
Newmont Corporation,NEM,109.3,-5.54,6.069,118.905,18.23
Corning Incorporated,GLW,165.45,0.07,5.944,142.124,89.83
The Campbell's Company,CPB,20.91,-0.35,5.923,6.234,11.41
"Mattel, Inc.",MAT,14.88,-0.03,5.922,4.497,12.25
AbbVie Inc.,ABBV,205.12,1.41,5.917,362.809,88.3
Amphenol Corporation,APH,151.93,-0.88,5.859,186.787,45.23
Tencent Music Entertainment Group,TME,9.62,-0.49,5.848,15.159,9.65
Full Truck Alliance Co. Ltd.,YMM,8.83,-0.06,5.806,9.235,14.37
GameStop Corp.,GME,24.46,-0.46,5.803,10.967,31.88
Medline Inc.,MDLN,47.51,-0.75,5.791,38.561,33.29
The AES Corporation,AES,14.44,-0.04,5.764,10.297,11.05
Performance Food Group Company,PFGC,90.75,-0.88,5.76,14.257,42.32
Target Corporation,TGT,132.1,1.92,5.739,59.822,15.72
VinFast Auto Ltd.,VFS,4.76,0.41,5.72,11.136,
